Date,EURUSD=X,GOOG,MC.PA,MSFT,SAN.MC,TEF.MC,TSLA,bund_10y,spain_10y,us_30y
2025-09-22,1.1736950874328613,252.53721618652344,494.5963134765625,511.21240234375,8.340750694274902,4.216414451599121,434.2099914550781,762.5388985339715,722.9743888501728,247.74844630346595
2025-09-23,1.1801080703735352,251.99794006347656,510.4000244140625,506.0252380371094,8.473406791687012,4.196281433105469,425.8500061035156,762.2495227734534,723.0443824496733,249.45722957943562
2025-09-24,1.1814465522766113,247.4940643310547,496.6449279785156,506.9394226074219,8.523151397705078,4.177107334136963,442.7900085449219,762.5908505632848,722.8344240097696,247.96138108133155
2025-09-25,1.1744670867919922,246.2357635498047,494.40118408203125,503.83905029296875,8.494865417480469,4.1713547706604,423.3900146484375,760.7600389353976,719.9020368268597,248.3166927278132
2025-09-26,1.166275978088379,246.8449249267578,503.0834655761719,508.2411804199219,8.63239860534668,4.185735702514648,440.3999938964844,762.7615775032006,722.1350467547466,247.4648271520263
2025-09-29,1.170823097229004,244.0287628173828,510.30242919921875,511.3613586425781,8.531930923461914,4.16464376449585,443.2099914550781,765.6554678181127,725.4988606553222,251.8267150824956
2025-09-30,1.1731443405151367,243.2198486328125,507.7660217285156,514.6903686523438,8.655807495117188,4.216414451599121,444.7200012207031,765.2232229550525,725.709670583871,249.7432086983889
2025-10-01,1.1735849380493164,245.2071533203125,511.1803894042969,516.439208984375,8.604111671447754,4.18861198425293,459.4599914550781,765.1189282082324,726.3425047618407,251.03431323669497
2025-10-02,1.1734058856964111,246.095947265625,529.6181030273438,512.4942626953125,8.449020385742188,4.161767959594727,436.0,766.2819538471965,726.8351288011053,252.33231611160681
2025-10-03,1.1725116968154907,246.1159210205078,539.5684204101562,514.0940551757812,8.531930923461914,4.13588285446167,429.8299865722656,766.1178196895272,727.3281203865216,251.10624318235554
2025-10-06,1.171248197555542,251.16905212402344,527.17919921875,525.2435302734375,8.47925853729248,4.14642858505249,453.25,764.8210293657154,725.7799555329063,247.96138108133155
2025-10-07,1.171028733253479,246.7949981689453,546.2996826171875,520.682373046875,8.385619163513184,4.145469665527344,433.0899963378906,765.3200820798679,725.8502479698178,250.24448761734322
2025-10-08,1.1654603481292725,245.1272735595703,561.4204711914062,521.5468139648438,8.546562194824219,4.174231052398682,438.69000244140625,767.8431589956738,728.6680955074871,250.38790104536528
2025-10-09,1.1631964445114136,241.88168334960938,545.5192260742188,519.1123046875,8.4343900680542,4.194364070892334,435.5400085449219,765.8194930174981,726.5535843636235,249.7432086983889
